,Potential applied / V,Time / s,WE(1).Current / A,WE(1).Potential / V,Scan,Index,e / (A/s1/2),BaseLine / (A s-1/2),Fcurve / (A/s1/2),Ecurve / (A/s1/2),Dcurve / (A/s1/2),e Reconstructed / (A/s1/2)
108,-0.71563720703125,237.378002400678,-0.00267944335937501,-0.71441650390625,3,10844,-0.000711301,-0.0008782506440082466,-1.827645230710448,-0.0002675947979512246,-4.733505763633622e-08,-1.828791123487465
109,-0.716705322265625,237.399364400624,-0.002667236328125,-0.715545654296875,3,10845,-0.00058423,-0.000886207435360946,-1.7291979357975549,-0.0002773084715618673,-4.911404016720576e-08,-1.730361500818518
110,-0.7177734375,237.42072640057,-0.00266418457031251,-0.71661376953125,3,10846,-0.000679404,-0.0008937341378827375,-1.6409575381124593,-0.00028681691180929735,-5.085835759960725e-08,-1.6421381400205088
111,-0.718841552734375,237.442088400516,-0.0026824951171875,-0.71771240234375,3,10847,-0.000709348,-0.0009014758777732739,-1.5548914929219833,-0.00029693235784942644,-5.271716219886667e-08,-1.5560899538747681
112,-0.71990966796875,237.463450400462,-0.00267944335937501,-0.718719482421875,3,10848,-0.000630033,-0.0009085724773707383,-1.4799688984163062,-0.0003065132958629242,-5.4480687930735075e-08,-1.4811840386702277
113,-0.720977783203125,237.484812400408,-0.00267639160156249,-0.71978759765625,3,10849,-0.000628102,-0.0009160991798925298,-1.404446575925449,-0.00031700773780610404,-5.6415604489403904e-08,-1.405679739258752
114,-0.7220458984375,237.506174400355,-0.00267944335937501,-0.720916748046875,3,10850,-0.000683305,-0.0009240559712452292,-1.3287951508423714,-0.00032848655936250327,-5.853585744561732e-08,-1.3300477519088365
115,-0.723114013671875,237.527536400301,-0.00269165039062499,-0.721954345703125,3,10851,-0.000735897,-0.0009313676223048567,-1.2628756881800673,-0.0003393947377644358,-6.055438382277068e-08,-1.2641465110945203
116,-0.72418212890625,237.548898400247,-0.0027008056640625,-0.722991943359375,3,10852,-0.000698177,-0.0009386792663177755,-1.2002264464864607,-0.0003506589540778234,-6.2642513820477e-08,-1.2015158473493701
117,-0.725250244140625,237.570260400193,-0.00269775390625,-0.724090576171875,3,10853,-0.000660572,-0.0009464210132550215,-1.1372761063967345,-0.00036298631515965714,-6.49320132737533e-08,-1.1385855786571626
118,-0.726318359375,237.591622400139,-0.0027008056640625,-0.7252197265625,3,10854,-0.000713014,-0.0009543778116544305,-1.076015939052192,-0.0003760995554244089,-6.737233660157564e-08,-1.0773464837916076
119,-0.727386474609375,237.612984400085,-0.0027130126953125,-0.7261962890625,3,10855,-0.000747514,-0.0009612593597897309,-1.0257018507490223,-0.00038781491108091855,-6.955672063152893e-08,-1.0270509945766135
120,-0.72845458984375,237.634346400031,-0.0027191162109375,-0.727264404296875,3,10856,-0.000712469,-0.0009687860552648137,-0.9733606729080743,-0.00040103863632503817,-7.202706658246626e-08,-0.9747305696267307
121,-0.729522705078125,237.655708399977,-0.0027191162109375,-0.72833251953125,3,10857,-0.000705169,-0.0009763127577866043,-0.923690400297654,-0.0004147041212572854,-7.458515014608048e-08,-0.9250814917618482
122,-0.7305908203125,237.677070399923,-0.00272521972656251,-0.729461669921875,3,10858,-0.00072521,-0.0009842695491393038,-0.8739352182096322,-0.00042964645578823994,-7.738825998671869e-08,-0.8753492116028198
123,-0.731658935546875,237.698432399869,-0.0027313232421875,-0.73046875,3,10859,-0.000762459,-0.0009913661487367682,-0.8318245665813928,-0.0004434171772003991,-7.997709238102008e-08,-0.8332594298844224
124,-0.73272705078125,237.719794399815,-0.0027435302734375,-0.731475830078125,3,10860,-0.000759363,-0.0009984627483342334,-0.7917430207079117,-0.0004576193367672838,-8.26525271476407e-08,-0.7931991854455404
125,-0.733795166015625,237.741156399761,-0.0027435302734375,-0.732635498046875,3,10861,-0.000706638,-0.001006634591149096,-0.7479750671714545,-0.00047452454175891533,-8.58443846131052e-08,-0.7494563121487471
126,-0.73486328125,237.762518399707,-0.0027435302734375,-0.73370361328125,3,10862,-0.000723145,-0.001014161286624178,-0.7098061821462175,-0.0004906337323286456,-8.889319179251263e-08,-0.711311066058362
127,-0.735931396484375,237.783880399653,-0.00275268554687499,-0.7347412109375,3,10863,-0.000792904,-0.0010214729376838063,-0.6745938003943702,-0.0005067930589325181,-9.195853993333327e-08,-0.6761221583495265
128,-0.73699951171875,237.805242399599,-0.00276794433593749,-0.735809326171875,3,10864,-0.000816063,-0.0010289996331588882,-0.6401695336826955,-0.0005239693409168635,-9.522449273594005e-08,-0.641722597881264
129,-0.738067626953125,237.826604399546,-0.0027740478515625,-0.736968994140625,3,10865,-0.000744596,-0.0010371714759737517,-0.6047806389619975,-0.000543259878183348,-9.89018476467103e-08,-0.6063611692180022
130,-0.7391357421875,237.847966399492,-0.00277099609375001,-0.738006591796875,3,10866,-0.000790932,-0.0010444831270333783,-0.5747784112117933,-0.0005611043215859456,-1.0231232629587623e-07,-0.576384100972739
131,-0.740203857421875,237.869328399438,-0.00279541015625,-0.739013671875,3,10867,-0.000960705,-0.0010515797266308436,-0.5470826587879942,-0.0005789681372419318,-1.0573492418000035e-07,-0.5487133123867911
132,-0.74127197265625,237.890690399384,-0.002825927734375,-0.7401123046875,3,10868,-0.000980718,-0.0010593214735680886,-0.51838887393705,-0.0005990858154878204,-1.0959937873820634e-07,-0.5200473908254847
133,-0.742340087890625,237.91205239933,-0.0028350830078125,-0.7412109375,3,10869,-0.000868507,-0.0010670632205053345,-0.4912000413558344,-0.000619880901644368,-1.136050720352803e-07,-0.4928870990830561
