"Figure 2 data (WE Area: 1.04 cm^2, scan rate: 0.3 V/s)",
Potential (V),Current Density (mA/cm^3)
-0.991211,-12.40274927
-0.992432,-12.46750878
-0.993347,-12.5646963
-0.994873,-12.60001967
-0.995483,-12.63833491
-0.996399,-12.75318412
-0.99762,-12.8209355
-0.99884,-12.86803333
-0.999451,-12.96821272
-1.00098,-13.0682956
-1.00159,-13.10072361
-1.00281,-13.16258776
-1.00372,-13.2833242
-1.00494,-13.33930112
-1.00616,-13.4159316
-1.00739,-13.53078081
-1.00922,-13.59554032
-1.00922,-13.63675092
-1.01074,-13.69861507
-1.01166,-13.81935151
-1.01288,-13.85766675
-1.01379,-13.93719259
-1.01471,-14.03148475
-1.01593,-14.12278504
-1.01654,-14.18754456
-1.01807,-14.27006226
-1.01898,-14.340709
-1.0202,-14.42023484
-1.02112,-14.50863978
-1.02203,-14.6470379
-1.02325,-14.70591018
-1.02539,-14.77366156
-1.0257,-14.8620665
-1.02661,-14.96514125
-1.02753,-15.00934371
-1.02875,-15.08298232
-1.02997,-15.23904213
-1.03058,-15.31268074
-1.0321,-15.37155302
-1.03333,-15.49228946
-1.03363,-15.61900963
-1.03546,-15.66909933
-1.03668,-15.81338468
-1.03729,-15.93711298
-1.03882,-15.94888744
-1.03943,-16.05784942
-1.04065,-16.21979645
-1.04187,-16.27287802
-1.04279,-16.31997585
-1.0437,-16.43482505
-1.04492,-16.59387673
-1.04645,-16.64985365
-1.04675,-16.77059009
-1.04736,-16.88254394
-1.04828,-16.96206977
-1.0495,-17.07981434
-1.05133,-17.24774511
-1.05194,-17.33605354
-1.05286,-17.39791769
-1.05438,-17.53641232
-1.0553,-17.71312568
-1.05682,-17.71312568
-1.05774,-17.82797489
-1.05865,-18.06356053
-1.06018,-18.12252933
-1.0611,-18.20205517
-1.06171,-18.3728813
-1.06323,-18.48473863
-1.06384,-18.60557158
-1.06506,-18.69098465
-1.06598,-18.85592355
-1.06689,-18.91180396
-1.06812,-19.06496841
-1.06964,-19.21224563
-1.07025,-19.34475652
-1.07147,-19.44792779
-1.07208,-19.51857452
-1.0733,-19.74537758
-1.07483,-19.84845233
-1.07605,-19.94563985
-1.07697,-20.1400149
-1.07758,-20.19898369
-1.0791,-20.35205163
-1.07971,-20.47288458
-1.08093,-20.64959794
-1.08215,-20.72912377
-1.08307,-20.88817545
-1.08429,-21.02956544
-1.08551,-21.16497169
-1.08582,-21.35056415
-1.08795,-21.42420276
-1.08887,-21.62446503
-1.08948,-21.72753978
-1.0907,-21.87780887
-1.09161,-22.04274777
-1.09283,-22.14871788
-1.09344,-22.31365679
-1.09497,-22.49336202
-1.09558,-22.67007538
-1.0968,-22.77903736
-1.09833,-22.94397626
-1.09924,-23.12368149
-1.09985,-23.2708622
-1.10168,-23.40935683
-1.1026,-23.62728079
-1.10321,-23.75100909
-1.10443,-23.90118167
-1.10535,-24.0720078
-1.10718,-24.34301333
-1.10809,-24.44020085
-1.10931,-24.60214788
-1.10992,-24.77886124
-1.11145,-24.97922003
-1.11206,-25.16471597
