Figure 13 data,,,,,,,
Voltammogram (top),,Residual gas analyzer data (bottom),,,,,
,,-0.5 V,,-0.8 V,,-0.9 V,
Potential (V),Current (A),Time (s),2 AMU signal intensity,Time (s),2 AMU signal intensity,Time (s),2 AMU signal intensity
0.585175,0.0126587,79.346,2.47E+00,79.302,2.13E+00,79.463,2.15E+00
0.587616,0.0129364,79.662,2.57E+00,79.618,2.18E+00,79.779,2.36E+00
0.590057,0.0132263,79.978,2.52E+00,79.933,2.16E+00,80.095,2.52E+00
0.592499,0.0135071,80.293,2.40E+00,80.249,2.22E+00,80.41,2.30E+00
0.59494,0.0138123,80.609,2.35E+00,80.565,2.38E+00,80.726,2.76E+00
0.597382,0.0141266,80.924,2.02E+00,80.88,2.42E+00,81.041,2.50E+00
0.599823,0.0144501,81.24,2.13E+00,81.196,2.46E+00,81.357,2.63E+00
0.602264,0.0147888,81.556,1.95E+00,81.511,2.66E+00,81.673,2.58E+00
0.604706,0.0151306,81.871,1.92E+00,81.827,2.65E+00,81.988,2.49E+00
0.607147,0.0154846,82.187,2.14E+00,82.143,2.55E+00,82.304,2.18E+00
0.609589,0.0158508,82.502,2.23E+00,82.458,2.42E+00,82.619,1.96E+00
0.61203,0.0162018,82.818,2.34E+00,82.774,2.34E+00,82.935,2.11E+00
0.614471,0.0165741,83.134,2.37E+00,83.089,2.15E+00,83.251,2.01E+00
0.616913,0.0170227,83.449,2.48E+00,83.405,2.16E+00,83.566,2.21E+00
0.619354,0.0173981,83.765,2.59E+00,83.721,2.23E+00,83.882,2.45E+00
0.621796,0.0177246,84.08,2.33E+00,84.036,2.54E+00,84.197,2.59E+00
0.624237,0.0181488,84.396,2.53E+00,84.352,2.48E+00,84.513,2.44E+00
0.626678,0.0185913,84.712,2.12E+00,84.667,2.36E+00,84.829,2.85E+00
0.62912,0.0189362,85.027,2.10E+00,84.983,2.68E+00,85.144,2.64E+00
0.631561,0.0192535,85.343,1.99E+00,85.299,2.53E+00,85.46,2.43E+00
0.634003,0.0197113,85.658,2.14E+00,85.614,2.77E+00,85.775,2.33E+00
0.636444,0.0201385,85.974,2.26E+00,85.93,2.55E+00,86.091,2.25E+00
0.638885,0.0204773,86.29,2.22E+00,86.245,2.42E+00,86.407,2.32E+00
0.641327,0.0208649,86.605,2.25E+00,86.561,2.21E+00,86.722,2.32E+00
0.643768,0.0213593,86.921,2.63E+00,86.877,2.30E+00,87.038,2.19E+00
0.64621,0.0217987,87.236,2.70E+00,87.192,2.15E+00,87.353,2.12E+00
0.648651,0.0221558,87.552,2.78E+00,87.508,2.36E+00,87.669,2.31E+00
0.651093,0.0225891,87.868,2.38E+00,87.823,2.27E+00,87.985,2.55E+00
0.653534,0.0230865,88.183,2.60E+00,88.139,2.51E+00,88.3,2.50E+00
0.655975,0.0234894,88.499,2.20E+00,88.455,2.50E+00,88.616,2.51E+00
0.658417,0.0238373,88.814,2.11E+00,88.77,2.73E+00,88.931,2.46E+00
0.660858,0.0242981,89.13,2.11E+00,89.086,2.66E+00,89.247,2.38E+00
0.6633,0.0247559,89.446,2.14E+00,89.401,2.80E+00,89.563,2.51E+00
0.665741,0.0251068,89.761,2.09E+00,89.717,2.64E+00,89.878,2.18E+00
0.668182,0.0254608,90.077,2.36E+00,90.033,2.57E+00,90.194,2.14E+00
0.670624,0.0259216,90.392,2.24E+00,90.348,2.47E+00,90.509,2.13E+00
0.673065,0.0263336,90.708,2.49E+00,90.664,2.27E+00,90.825,2.06E+00
0.675507,0.0266418,91.024,2.58E+00,90.979,2.21E+00,91.141,2.05E+00
0.677948,0.0269989,91.339,2.47E+00,91.295,2.32E+00,91.456,2.27E+00
0.680389,0.0274384,91.655,2.73E+00,91.611,2.27E+00,91.772,2.40E+00
0.682831,0.0278015,91.97,2.78E+00,91.926,2.31E+00,92.087,2.46E+00
0.685272,0.0280914,92.286,2.12E+00,92.242,2.45E+00,92.403,2.63E+00
0.687714,0.0284607,92.602,2.19E+00,92.557,2.56E+00,92.719,2.55E+00
0.690155,0.0287903,92.917,2.17E+00,92.873,2.73E+00,93.034,2.59E+00
0.692596,0.0291138,93.233,2.04E+00,93.189,2.71E+00,93.35,2.46E+00
0.695038,0.029422,93.548,2.25E+00,93.504,2.54E+00,93.665,2.34E+00
0.697479,0.029718,93.864,2.25E+00,93.82,2.62E+00,93.981,2.18E+00
0.699921,0.030014,94.18,2.17E+00,94.135,2.41E+00,94.297,2.21E+00
